Date,RGTI,IONQ,QNTM.MI,RACE.MI,LEGN,TTWO,LGND,SMR
2025-06-17,9.93823572846606,32.93122920594912,17.851999282836914,397.5730895996094,30.039791037558317,205.6210702797769,97.42588001553358,33.9700698794661
2025-06-18,9.88448844439069,34.51297572187844,17.965999603271484,396.4854736328125,30.385003013288056,207.70488235718545,99.83768380148739,34.10366105414731
2025-06-19,9.888915304834647,34.528432680312456,17.761999130249023,391.2451477050781,30.398611220600532,207.7979049281457,99.8823970403893,34.118934697185495
2025-06-20,9.60671652091473,35.05669710101424,17.760000228881836,394.11248779296875,29.532400480905284,207.04818113035935,99.08120334836154,32.311921188856175
2025-06-23,9.381904744826782,35.77122862284316,17.562000274658203,393.2226257324219,29.432572976784023,210.0624968450778,99.97511055313832,31.736749249011908
2025-06-24,9.914609520426755,35.22703922226388,17.895999908447266,394.3102111816406,29.57139991186008,209.54311949536608,101.92218692240398,37.278933243877894
2025-06-25,9.550264776221388,32.818808966912826,17.766000747680664,403.01116943359375,28.78857980079367,208.09070720874615,99.65343880581325,33.29244632204147
2025-06-26,9.508937780550728,35.1941965312847,17.775999069213867,399.3528137207031,28.655197333750976,204.84015902402143,99.01791800559839,32.72923563684856
2025-06-27,9.467838754340782,34.42461791940164,17.993999481201172,415.2715759277344,29.618001374368635,206.49639340384618,97.62907299447194,32.67131505056005
2025-06-30,10.113022137997485,36.64052160154085,18.18400001525879,411.41546630859375,30.262325720206377,207.07820902464914,96.93494038901976,33.732814607803185
2025-07-01,9.612145882878842,34.02003864360052,17.95800018310547,410.7233581542969,30.78771273069476,203.69605478268917,95.49365616904477,30.64348643959548
2025-07-02,11.079544761473155,37.905935089290296,18.124000549316406,409.6357116699219,30.41792454240062,202.87933642485805,96.27684292881375,29.824981894748408
2025-07-03,11.398068223271938,37.61786235310412,18.65999984741211,413.1951904296875,30.202762102699094,203.4788257886364,97.09968003072707,30.406149131967297
2025-07-04,11.425909372116035,37.70974849419873,18.47599983215332,404.1976318359375,30.276535971984,203.97584722809725,97.33685764639795,30.48041979846765
2025-07-07,11.671550246158919,38.367569456805036,18.530000686645508,410.5256042480469,30.447890535502527,205.8691685057036,96.56404224990253,31.15242930463407
2025-07-08,11.400295084305013,38.3162391235147,18.57200050354004,414.3817138671875,31.942980432737496,204.96673648662787,98.08684530582138,29.889564201150556
2025-07-09,11.522814553608494,38.85858164267633,18.493999481201172,413.2940673828125,33.65156636634304,206.6003902888774,104.39618764246545,30.244188497347153
2025-07-10,11.107162026571368,39.15210788371454,18.577999114990234,419.9186706542969,33.84999255143221,200.60234179719612,106.53669806717288,30.704527204953898
2025-07-11,10.407810631744312,35.7266474469027,18.31399917602539,416.8535461425781,33.29132040430365,199.88464555996765,103.99265109894307,32.02666075038571
2025-07-14,10.93124833603938,36.303384780351074,18.20400047302246,414.3817138671875,33.76103397862436,204.12415490699118,108.6447900595745,36.05514109110509
2025-07-15,10.903201994604757,35.54683887844355,18.285999298095703,414.8760681152344,33.93535845663369,203.74929453118614,106.54622741764081,36.84116406441592
2025-07-16,14.266770435943936,37.51058078957903,18.33799934387207,423.6758728027344,34.24541927039846,205.67066153735868,111.67883942731355,39.707456085486825
2025-07-17,14.730458576150385,38.53639371779585,19.04199981689453,429.80609130859375,36.207366257075,201.0355289301734,118.23041810806474,40.24664099521575
2025-07-18,14.773386733597626,40.04138684690077,18.961999893188477,431.5858154296875,35.80566211935172,199.02747478081383,119.7539745388131,43.26122901890562
2025-07-21,13.825424224090067,38.200472973256915,19.23200035095215,429.6083068847656,36.30893416820264,199.15317759497003,121.33357016502816,39.06885949857209
2025-07-22,13.194193325443498,35.86289300098164,18.624000549316406,423.1814880371094,37.6415025754096,197.5879642286666,113.26655229462726,38.00064301143007
2025-07-23,13.74885813867007,36.86806604466222,18.95199966430664,427.4330749511719,37.75399080255553,194.8436420222842,116.0304913380204,40.76102018803114
2025-07-24,13.546493463733661,37.28470788963699,18.940000534057617,434.1565246582031,37.54799189913424,191.7317201258807,112.81384157427243,43.340285466118196
2025-07-25,13.133571519398469,36.721261259909234,18.68199920654297,435.9362487792969,36.88288112525171,191.1768315547796,115.53970803177283,43.95153075141369
2025-07-28,13.24337466870175,36.013134006676104,18.75,434.1565246582031,35.307159347728636,192.3138826020648,114.75890308757448,43.37056582025133
2025-07-29,12.477626331649716,34.94942437165048,18.785999298095703,434.7497863769531,35.156380225666666,193.1401963288691,113.4627550288778,42.22732311101951
2025-07-30,12.267394592262763,34.525314524231305,18.916000366210938,431.1903076171875,34.984150383373574,193.75903591827762,117.0726682687222,43.72802236616756
2025-07-31,12.686630012522375,34.88385689989547,18.878000259399414,380.96221923828125,34.18390556673083,194.87538265420534,115.12460691569707,43.930736642330466
2025-08-01,12.360224766376206,33.36910472456852,17.97800064086914,375.0297546386719,33.96435661417888,193.08912349127533,116.17911185391354,38.89269083520193
2025-08-04,13.60182525804528,34.40157076228969,18.275999069213867,374.041015625,33.184656342249056,195.04292640488117,116.84968823858401,37.43954223687118
2025-08-05,14.217727408939279,36.27376667511879,18.496000289916992,382.544189453125,33.166064589638125,195.0254453010001,116.66823634788966,38.958474796737256
2025-08-06,13.809283736366258,35.60705255026892,18.389999389648438,373.0522766113281,32.52392938389997,196.22310790277547,122.97948392252322,39.666067248555564
2025-08-07,13.426884145116189,34.71612815259224,18.290000915527344,378.6881103515625,32.0924829212122,194.192534700822,125.45477685809178,38.30863304896454
2025-08-08,13.22297021648819,35.84075766986786,18.538000106811523,376.21624755859375,31.68717042140731,186.1578399940215,128.51288421824663,33.6997326413944
2025-08-11,13.719148612154873,38.58188594813781,18.761999130249023,376.11737060546875,31.112764891985076,191.16663853924635,126.21101501165028,32.838388576166786
2025-08-12,13.943341149663327,37.01010130858374,18.718000411987305,377.6004943847656,31.837295570342764,200.16439697598935,131.420289748008,32.85291858560749
